"equipo_local","equipo_visitante","fecha","hora","estadio","inning","bateando","parte_del_inning","evento","id_evento"
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","cmg","top","H. Bravo  recibe Base por Bolas.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","cmg","top","Y. Flores  se Poncha.",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","cmg","top","L. Segura  batea Sencillo de fly al jardin central. H. Bravo  avanza a Tercera Base, ",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","cmg","top","A. Ayala  conecta un Fly de sacrificio de fly al jardin central. H. Bravo  anota",3
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","cmg","top","Y. Samon  es Out de linea al jardin derecho.",4
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","mtz","bottom","A. Medina  se embasa por Error probabilidad de Out de rolling 6.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","mtz","bottom","A. Sanchez  es Out de rolling 3. A. Medina  avanza a Segunda Base, ",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","mtz","bottom","J. Delgado  es Out de fly al jardin central. A. Medina  avanza a Tercera Base, ",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","1","mtz","bottom","Y. Santoya  se Poncha.",3
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","cmg","top","L. Gonzalez  batea Doble de linea al jardin izquierdo.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","cmg","top","L. Moa  batea Sencillo de rolling al jardin central . L. Gonzalez  avanza a Tercera Base, ",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","cmg","top","Y. Yanes  batea Doble de linea al jardin central. L. Moa  avanza a Tercera Base, L. Gonzalez  anota",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","cmg","top","J. Alvarez  es Out de rolling 53.",3
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","cmg","top","H. Bravo  se Poncha.",4
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","cmg","top","Y. Flores  es Out de rolling 53.",5
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","mtz","bottom","Y. Duque  batea Sencillo de fly al jardin derecho.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","mtz","bottom","J. Vazquez  es Out de fly al jardin central.",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","mtz","bottom","E. Blanco  batea Sencillo de rolling al jardin izquierdo . Y. Duque  avanza a Segunda Base, ",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","mtz","bottom","A. Perez  se Poncha.",3
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","mtz","bottom","M. Esquerres  batea Doble de linea al jardin central. E. Blanco  anota, Y. Duque  anota, ",4
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","2","mtz","bottom","A. Medina  es Out de fly.",5
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","L. Segura  batea Sencillo de linea al jardin central.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","A. Ayala  conecta Jonron de fly al jardin central. L. Segura  anota, ",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","Y. Samon  es Out de linea al jardin derecho.",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","L. Gonzalez  es Out de linea.",3
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","L. Moa  se embasa por Error probabilidad de Out de rolling 5.",4
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","Y. Yanes  continua bateando. L. Moa  avanza a Segunda Base, ",5
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","Y. Yanes  batea Sencillo de rolling al jardin derecho . L. Moa  anota, ",6
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","cmg","top","J. Alvarez  es Out de linea al jardin central.",7
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","mtz","bottom","A. Sanchez  es Out de rolling 43.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","mtz","bottom","J. Delgado  es Out de fly al jardin derecho.",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","3","mtz","bottom","Y. Santoya  es Out de rolling 53.",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","cmg","top","H. Bravo  es Out de rolling 63.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","cmg","top","Y. Flores  es Out de rolling 13.",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","cmg","top","L. Segura  es Out de linea al jardin izquierdo.",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","mtz","bottom","Y. Duque  es Out de rolling 31.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","mtz","bottom","J. Vazquez  batea Sencillo de rolling al jardin izquierdo .",1
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","mtz","bottom","E. Blanco  es Out de fly al jardin derecho.",2
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","mtz","bottom","A. Perez  se embasa por FCH de rolling 4. J. Vazquez  avanza a 2B por un error no probabilidad de Out o PB, ",3
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","4","mtz","bottom","M. Esquerres  es Out de fly al jardin derecho.",4
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","5","cmg","top","A. Ayala  es Out de fly al jardin central.",0
"Camagüey","Matanzas","sabado 12, septiembre, 2020","14:00","Victoria de Giron","5","cmg","top","Y. Samon  es Out de rolling 53.",1
