Liga,Inning,Mitad Del Inning,Evento,Outs Antes De Jugada,Corredores Inicio De Jugada,Carreras Antes De Jugada,Carreras Anotadas En Jugada,Outs En Juego,Outs Despues De Jugada,Corredores Despues De Jugada,Carreras Despues De Jugada,Carreras Final Inning
SNB60,1,top,H. Bravo  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,1
SNB60,1,top,Y. Flores  se Poncha.,0,1--,0,0,1,1,1--,0,1
SNB60,1,top,"L. Segura  batea Sencillo de fly al jardin central. H. Bravo  avanza a Tercera Base, ",1,1--,0,0,0,1,1-3,0,1
SNB60,1,top,A. Ayala  conecta un Fly de sacrificio de fly al jardin central. H. Bravo  anota,1,1-3,0,1,1,2,1--,1,1
SNB60,1,top,Y. Samon  es Out de linea al jardin derecho.,2,1--,1,0,1,3,1--,1,1
SNB60,1,bottom,A. Medina  se embasa por Error probabilidad de Out de rolling 6.,0,---,0,0,0,0,1--,0,0
SNB60,1,bottom,"A. Sanchez  es Out de rolling 3. A. Medina  avanza a Segunda Base, ",0,1--,0,0,1,1,-2-,0,0
SNB60,1,bottom,"J. Delgado  es Out de fly al jardin central. A. Medina  avanza a Tercera Base, ",1,-2-,0,0,1,2,--3,0,0
SNB60,1,bottom,Y. Santoya  se Poncha.,2,--3,0,0,1,3,--3,0,0
SNB60,2,top,L. Gonzalez  batea Doble de linea al jardin izquierdo.,0,---,0,0,0,0,-2-,0,1
SNB60,2,top,"L. Moa  batea Sencillo de rolling al jardin central . L. Gonzalez  avanza a Tercera Base, ",0,-2-,0,0,0,0,1-3,0,1
SNB60,2,top,"Y. Yanes  batea Doble de linea al jardin central. L. Moa  avanza a Tercera Base, L. Gonzalez  anota",0,1-3,0,1,0,0,-23,1,1
SNB60,2,top,J. Alvarez  es Out de rolling 53.,0,-23,1,0,1,1,-23,1,1
SNB60,2,top,H. Bravo  se Poncha.,1,-23,1,0,1,2,-23,1,1
SNB60,2,top,Y. Flores  es Out de rolling 53.,2,-23,1,0,1,3,-23,1,1
SNB60,2,bottom,Y. Duque  batea Sencillo de fly al jardin derecho.,0,---,0,0,0,0,1--,0,2
SNB60,2,bottom,J. Vazquez  es Out de fly al jardin central.,0,1--,0,0,1,1,1--,0,2
SNB60,2,bottom,"E. Blanco  batea Sencillo de rolling al jardin izquierdo . Y. Duque  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,2
SNB60,2,bottom,A. Perez  se Poncha.,1,12-,0,0,1,2,12-,0,2
SNB60,2,bottom,"M. Esquerres  batea Doble de linea al jardin central. E. Blanco  anota, Y. Duque  anota, ",2,12-,0,2,0,2,-2-,2,2
SNB60,2,bottom,A. Medina  es Out de fly.,2,-2-,2,0,1,3,-2-,2,2
SNB60,3,top,L. Segura  batea Sencillo de linea al jardin central.,0,---,0,0,0,0,1--,0,3
SNB60,3,top,"A. Ayala  conecta Jonron de fly al jardin central. L. Segura  anota, ",0,1--,0,2,0,0,---,2,3
SNB60,3,top,Y. Samon  es Out de linea al jardin derecho.,0,---,2,0,1,1,---,2,3
SNB60,3,top,L. Gonzalez  es Out de linea.,1,---,2,0,1,2,---,2,3
SNB60,3,top,L. Moa  se embasa por Error probabilidad de Out de rolling 5.,2,---,2,0,0,2,1--,2,3
SNB60,3,top,"Y. Yanes  batea Sencillo de rolling al jardin derecho . L. Moa  anota, ",2,-2-,2,1,0,2,1--,3,3
SNB60,3,top,J. Alvarez  es Out de linea al jardin central.,2,1--,3,0,1,3,1--,3,3
SNB60,3,bottom,A. Sanchez  es Out de rolling 43.,0,---,0,0,1,1,---,0,0
SNB60,3,bottom,J. Delgado  es Out de fly al jardin derecho.,1,---,0,0,1,2,---,0,0
SNB60,3,bottom,Y. Santoya  es Out de rolling 53.,2,---,0,0,1,3,---,0,0
SNB60,4,top,H. Bravo  es Out de rolling 63.,0,---,0,0,1,1,---,0,0
SNB60,4,top,Y. Flores  es Out de rolling 13.,1,---,0,0,1,2,---,0,0
SNB60,4,top,L. Segura  es Out de linea al jardin izquierdo.,2,---,0,0,1,3,---,0,0
SNB60,4,bottom,Y. Duque  es Out de rolling 31.,0,---,0,0,1,1,---,0,0
SNB60,4,bottom,J. Vazquez  batea Sencillo de rolling al jardin izquierdo .,1,---,0,0,0,1,1--,0,0
SNB60,4,bottom,E. Blanco  es Out de fly al jardin derecho.,1,1--,0,0,1,2,1--,0,0
SNB60,4,bottom,"A. Perez  se embasa por FCH de rolling 4. J. Vazquez  avanza a 2B por un error no probabilidad de Out o PB, ",2,1--,0,0,0,2,12-,0,0
SNB60,4,bottom,M. Esquerres  es Out de fly al jardin derecho.,2,12-,0,0,1,3,12-,0,0
SNB60,5,top,A. Ayala  es Out de fly al jardin central.,0,---,0,0,1,1,---,0,0
SNB60,5,top,Y. Samon  es Out de rolling 53.,1,---,0,0,1,2,---,0,0
SNB60,5,top,L. Gonzalez  es Out de rolling 43.,2,---,0,0,1,3,---,0,0
SNB60,5,bottom,A. Medina  es Out de rolling 43.,0,---,0,0,1,1,---,0,2
SNB60,5,bottom,A. Sanchez  batea Sencillo de rolling al jardin derecho .,1,---,0,0,0,1,1--,0,2
SNB60,5,bottom,"J. Delgado  conecta Jonron de linea al jardin central. A. Sanchez  anota, ",1,1--,0,2,0,1,---,2,2
SNB60,5,bottom,Y. Santoya  batea Sencillo de linea al jardin derecho.,1,---,2,0,0,1,1--,2,2
SNB60,5,bottom,Y. Duque  es Out de fly al jardin central.,1,1--,2,0,1,2,1--,2,2
SNB60,5,bottom,J. Vazquez  es Out de fly al jardin central.,2,1--,2,0,1,3,1--,2,2
SNB60,6,top,L. Moa  batea Doble de linea al jardin central.,0,---,0,0,0,0,-2-,0,5
SNB60,6,top,"Y. Yanes  se embasa por Error probabilidad de Out y llega a 2B de rolling 5. L. Moa  anota por un error no probabilidad de Out o PB, ",0,-2-,0,1,0,0,-2-,1,5
SNB60,6,top,J. Alvarez  recibe Pelotazo.,0,-2-,1,0,0,0,12-,1,5
SNB60,6,top,"H. Bravo  sacrificio de Hit de rolling 13. J. Alvarez  avanza a Segunda Base, Y. Yanes  avanza a Tercera Base, ",0,12-,1,0,1,1,-23,1,5
SNB60,6,top,"L. Chapelli  batea Sencillo de rolling al jardin izquierdo . J. Alvarez  avanza a Tercera Base, Y. Yanes  anota",1,-23,1,1,0,1,1-3,2,5
SNB60,6,top,"L. Segura  batea Sencillo de linea al jardin derecho. L. Chapelli  avanza a Tercera Base, J. Alvarez  anota",1,1-3,2,1,0,1,1-3,3,5
SNB60,6,top,"A. Ayala  es Out de rolling 43. L. Segura  avanza a Segunda Base, L. Chapelli  anota",1,1-3,3,1,1,2,-2-,4,5
SNB60,6,top,Y. Samon  recibe Base por Bolas.,2,--3,4,0,0,2,1-3,4,5
SNB60,6,top,"L. Gonzalez  batea Sencillo de rolling . Y. Samon  avanza a Segunda Base, L. Segura  anota",2,1-3,4,1,0,2,12-,5,5
SNB60,6,top,"L. Moa  batea Sencillo de rolling . L. Gonzalez  avanza a Segunda Base, Y. Samon  avanza a Tercera Base, ",2,12-,5,0,0,2,123,5,5
SNB60,6,top,Y. Yanes  es Out de fly al jardin derecho.,2,123,5,0,1,3,123,5,5
SNB60,6,bottom,E. Blanco  es Out de rolling 13.,0,---,0,0,1,1,---,0,0
SNB60,6,bottom,A. Perez  es Out de fly.,1,---,0,0,1,2,---,0,0
SNB60,6,bottom,M. Esquerres  es Out de fly.,2,---,0,0,1,3,---,0,0
SNB60,7,top,J. Alvarez  es Out de fly.,0,---,0,0,1,1,---,0,0
SNB60,7,top,H. Bravo  recibe Base por Bolas.,1,---,0,0,0,1,1--,0,0
SNB60,7,top,"L. Chapelli  batea Sencillo de rolling . H. Bravo  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,0
SNB60,7,top,"L. Segura  es Out de linea al jardin derecho. H. Bravo  avanza a Tercera Base, ",1,12-,0,0,1,2,1-3,0,0
SNB60,7,top,"A. Ayala  se embasa por FCH de rolling 64. L. Chapelli  es Out, ",2,1-3,0,0,1,3,1-3,0,0
SNB60,7,bottom,A. Medina  batea Sencillo de linea al jardin central.,0,---,0,0,0,0,1--,0,0
SNB60,7,bottom,A. Sanchez  se Poncha.,0,1--,0,0,1,1,1--,0,0
SNB60,7,bottom,J. Delgado  es Out de fly al jardin derecho.,1,1--,0,0,1,2,1--,0,0
SNB60,7,bottom,"Y. Santoya  se embasa por FCH de rolling 64. A. Medina  es Out, ",2,1--,0,0,1,3,1--,0,0
SNB60,8,top,Y. Samon  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,0
SNB60,8,top,"L. Gonzalez  batea Sencillo de rolling al jardin izquierdo . Y. Samon  avanza a Segunda Base, ",0,1--,0,0,0,0,12-,0,0
SNB60,8,top,L. Moa  se Poncha.,0,12-,0,0,1,1,12-,0,0
SNB60,8,top,"Y. Yanes  recibe Base por Bolas. L. Gonzalez  avanza a Segunda Base, Y. Samon  avanza a Tercera Base, ",1,12-,0,0,0,1,123,0,0
SNB60,8,top,M. Luis  se Poncha.,1,123,0,0,1,2,123,0,0
SNB60,8,top,H. Bravo  es Out de rolling 63.,2,123,0,0,1,3,123,0,0
SNB60,8,bottom,Y. Duque  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,8,bottom,W. Luis  es Out de fly al jardin central.,1,---,0,0,1,2,---,0,0
SNB60,8,bottom,E. Blanco  se Poncha.,2,---,0,0,1,3,---,0,0
SNB60,9,top,L. Chapelli  batea Sencillo de rolling al jardin izquierdo .,0,---,0,0,0,0,1--,0,5
SNB60,9,top,L. Segura  es Out de linea.,0,1--,0,0,1,1,1--,0,5
